reactions,data_type,kcat,MW,kcat_MW
PAPSR2_num4,ours,64.15156584121215,9137.398599999991,6222.791851746497
SUCBZL,ours,64.08706474122572,50184.067800000055,4597.344200710894
MELIBt3ipp,ours,63.71309734667254,42537.696100000045,5392.091520631766
LCTSt3ipp_num3,ours,63.161528582094796,42537.696100000045,5345.411805119859
MLTG4,ours,62.983609267543244,69040.17260000018,3284.1892600244614
MLTG3,ours,62.69203584640536,69040.17260000018,3268.98558545983
CYSS_num2,ours,62.55884536458276,32663.80280000002,6894.844568204954
PHETA1_num1,ours,62.55866701823368,43537.29480000009,5172.834056415483
ASPCT_num1,ours,62.33579145753331,34426.94620000002,4353.448194193967
ASPCT_num2,ours,62.31778913807817,34426.94620000002,6516.524573332074
GGGABADr,ours,62.025575407947,53417.97230000012,4180.092614047215
AGMT,ours,61.953142778506205,33556.663900000014,6646.409031221433
MLTG2,ours,61.67864103002305,69040.17260000018,3216.143577660789
FEENTERtpp,ours,61.23373976323753,43281.44640000003,5093.209249764235
HACD3_reverse_num2,ours,61.2121010818391,77071.2984000004,2859.2169649320404
AMALT4,ours,61.10738669899917,78502.5889000005,2802.284551362046
AMALT3,ours,60.92602142185347,78502.5889000005,2793.967437151249
MLTG1,ours,60.80516203329016,69040.17260000018,3170.597278023665
AMALT2,ours,60.67552661991751,78502.5889000005,2782.4801562907646
ADSL1r_reverse,ours,60.641035894505606,51542.15810000002,4235.517822064577
ADSL2r_reverse,ours,60.641035894505606,51542.15810000002,4235.517822064577
GALabcpp_num2,ours,60.38090630087034,55259.35330000005,1356.5408150988042
AMALT1,ours,60.30113123004721,78502.5889000005,2765.3109976372843
ACNAMt2pp,ours,60.229989208481776,53550.59200000007,4049.030142384497
HACD4_num2,ours,59.84786642094786,77071.2984000004,2795.4935700864116
CPPPGO2,ours,59.589914859077446,52728.41250000009,4068.464862140093
RIBabcpp_num1,ours,59.39793988028927,34344.2546,1334.4571109764204
HACD3_reverse_num1,ours,59.326052371200014,79592.95340000032,2683.325337394996
MLTG5,ours,58.935837990227704,69040.17260000018,3073.124077978032
SUCOAS,ours,58.90636075640134,41392.1542,2979.696735864617
POR5_reverse_num2,ours,57.77162309732839,128822.93540000058,1400.3083809597847
POR5_reverse_num1,ours,57.77161945208128,19736.6991,1399.961912449992
FOMETRi,ours,57.579530778706186,21105.174099999986,9821.58734257219
METDabcpp,ours,57.37951136259859,29431.25730000001,2283.13104017848
SGSAD,ours,57.27203806261892,53025.6779000001,3888.2923366723753
METabcpp,ours,57.03102106091741,37787.92870000007,2269.2646093554367
ECOAH4_reverse_num2,ours,57.017402279849875,77071.2984000004,2663.2826028458144
FLVR_num2,ours,56.477198979833155,66268.98860000019,1560.7861334687789
HACD4_num1,ours,56.37952341630071,79592.95340000032,2550.0534359952744
CBMKr_reverse_num1,ours,56.111355354847746,31643.7491,6383.595023430769
HISabcpp,ours,56.01982028220786,28652.6981,1856.0853072910045
ALDD19xr,ours,55.94226891084356,53698.50160000009,3750.424352232511
ACACT5r_num1,ours,55.9013807942841,46529.971200000095,4325.061152400248
HACD3_num1,ours,55.89622549049075,79592.95340000032,2528.193805731625
HACD4_reverse_num2,ours,55.62244796725313,77071.2984000004,2598.124293207836
CYANST,ours,55.586776825385485,12082.338199999998,16562.38993305019
FHL_num2,ours,55.49379974116916,20309.166400000016,641.0547930295323
PAPSR2_num1,ours,54.830281787335046,27975.466900000018,5241.315578382807
