UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P06988,854,"['Histidinol dehydrogenase', 'HDH']",Homodimer.,"['hisD', 'b2020', 'JW2002']",2
P0ABL1,855,['Cytochrome c-type protein NrfB'],Homodimer.,"['nrfB', 'yjcI', 'b4071', 'JW4032']",2
Q9S5G5,856,['Histidine biosynthesis bifunctional protein HisB'],Homodimer.,"['hisB', 'Z3184', 'ECs2823']",2
P32709,857,['Protein NrfD'],Homodimer.,"['nrfD', 'yjcK', 'b4073', 'JW4034']",2
P37001,858,['Lipid A palmitoyltransferase PagP'],Homodimer.,"['pagP', 'crcA', 'ybeG', 'b0622', 'JW0617']",2
P60906,859,['Histidine--tRNA ligase'],Homodimer.,"['hisS', 'b2514', 'JW2498']",2
P0AEU0,860,"['Histidine-binding periplasmic protein', 'HBP']","The complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ).","['hisJ', 'b2309', 'JW2306']",1
P32099,861,['Lipoate-protein ligase A'],Monomer.,"['lplA', 'yjjF', 'b4386', 'JW4349']",1
P37748,862,['Putative O-antigen polymerase'],Monomer.,"['wbbH', 'rfc', 'wzy', 'yefF', 'b2035', 'JW2020']",1
P15993,863,"['Aromatic amino acid transport protein AroP', 'Aromatic amino acid:H(+) symporter AroP', 'General aromatic amino acid permease', 'General aromatic transport system']",Monomer.,"['aroP', 'b0112', 'JW0108']",1
P35272,864,['Chain length determinant protein'],Monomer.,"['wzzB', 'cld', 'rol']",1
P77044,865,"['2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase', '2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase', '2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase', '2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase']",Homodimer.,"['mhpC', 'b0349', 'JW0340']",2
P37750,866,['Putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ'],Homodimer.,"['wbbJ', 'yefH', 'b2033', 'JW2018']",2
