,UniProtID,proteinNames,txt_subunit,geneNames
1115,P30749,"['Molybdopterin synthase catalytic subunit', 'MPT synthase subunit 2', 'Molybdenum cofactor biosynthesis protein E', 'Molybdopterin-converting factor large subunit', 'Molybdopterin-converting factor subunit 2']",Heterotetramer of 2 MoaD subunits and 2 MoaE subunits. Also stable as homodimer. The enzyme changes between these two forms during catalysis.,"['moaE', 'chlA5', 'b0785', 'JW0768']"
1116,P0A6I3,"['Pantothenate kinase', 'Pantothenic acid kinase', 'Rts protein']",Heterotetramer of 2 MoaD subunits and 2 MoaE subunits. Also stable as homodimer. The enzyme changes between these two forms during catalysis.,"['coaA', 'panK', 'rts', 'b3974', 'JW3942']"
1117,P0A951,"['Spermidine N(1)-acetyltransferase', 'SAT']","Homododecamer (PubMed:31205017). Ligand-free SpeG forms closed symmetric dodecamers in the crystal and open asymmetric dodecamers in solution (PubMed:31205017). In the absence of ligand, also exists in solution as hexamers and tetramers, but not dimers (PubMed:23908034, PubMed:31205017, PubMed:8077207). Can interact with the DNA-binding carboxyl domain of RcsB in the presence or absence of spermidine (PubMed:30562360).","['speG', 'b1584', 'JW1576']"
1118,P16256,['Sodium/pantothenate symporter'],"Homododecamer (PubMed:31205017). Ligand-free SpeG forms closed symmetric dodecamers in the crystal and open asymmetric dodecamers in solution (PubMed:31205017). In the absence of ligand, also exists in solution as hexamers and tetramers, but not dimers (PubMed:23908034, PubMed:31205017, PubMed:8077207). Can interact with the DNA-binding carboxyl domain of RcsB in the presence or absence of spermidine (PubMed:30562360).","['panF', 'b3258', 'JW3226']"
1119,P12282,"['Molybdopterin-synthase adenylyltransferase', 'MoaD protein adenylase', 'Molybdopterin-converting factor subunit 1 adenylase', 'Sulfur carrier protein MoaD adenylyltransferase']",Homodimer. Forms a stable heterotetrameric complex of 2 MoeB and 2 MoaD during adenylation of MoaD.,"['moeB', 'chlN', 'b0826', 'JW0810']"
1120,P75894,['Probable malonic semialdehyde reductase RutE'],Homodimer. Forms a stable heterotetrameric complex of 2 MoeB and 2 MoaD during adenylation of MoaD.,"['rutE', 'ycdI', 'b1008', 'JW0993']"
1121,P69212,['Spermidine export protein MdtJ'],Forms a complex with MdtI.,"['mdtJ', 'ydgF', 'b1600', 'JW1592']"
1122,P0AFQ5,"['3-aminoacrylate deaminase RutC', '3-AA deaminase']",Homotrimer.,"['rutC', 'ycdK', 'b1010', 'JW0995']"
1123,P69210,['Spermidine export protein MdtI'],Forms a complex with MdtJ.,"['mdtI', 'ydgE', 'b1599', 'JW1591']"
1124,P52647,['Probable pyruvate-flavodoxin oxidoreductase'],Forms a complex with MdtJ.,"['ydbK', 'b1378', 'JW1372']"
