reac,reaction,ec_number
2AGPE160tipp,2agpe160_p --> 2agpe160_c,NA
EX_5mtr,5mtr_e --> ,NA
EX_thm,thm_e --> ,NA
EX_thr__L,thr__L_e --> ,NA
EX_LalaDglu,LalaDglu_e --> ,NA
EX_thrp,thrp_e --> ,NA
EX_LalaDgluMdap,LalaDgluMdap_e --> ,NA
EX_thym,thym_e --> ,NA
EX_thymd,thymd_e --> ,NA
EX_LalaDgluMdapDala,LalaDgluMdapDala_e --> ,NA
EX_tma,tma_e --> ,NA
EX_tmao,tmao_e --> ,NA
EX_LalaLglu,LalaLglu_e --> ,NA
EX_ac,ac_e --> ,NA
EX_acac,acac_e --> ,NA
MLDEP1pp,h2o_p + murein3px3p_p --> murein3p3p_p,NA
EX_acald,acald_e --> ,NA
2AGPE161tipp,2agpe161_p --> 2agpe161_c,NA
2AGPE180tipp,2agpe180_p --> 2agpe180_c,NA
2AGPE181tipp,2agpe181_p --> 2agpe181_c,NA
2AGPEAT120,2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,NA
3NTD4pp,3cmp_p + h2o_p --> cytd_p + pi_p,3.1.3.6
EX_acgal,acgal_e --> ,NA
3NTD7pp,3amp_p + h2o_p --> adn_p + pi_p,3.1.3.6
3NTD9pp,3gmp_p + h2o_p --> gsn_p + pi_p,3.1.3.6
2AGPEAT140,2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c,NA
2AGPEAT141,2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c,NA
3OAR100,3odecACP_c + h_c + nadph_c --> 3hdecACP_c + nadp_c,1.1.1.100
2AGPEAT160,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,2.3.1.40
EX_acgal1p,acgal1p_e --> ,NA
2AGPEAT161,2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,NA
2AGPEAT180,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,2.3.1.40
2AGPEAT181,2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,NA
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,1.1.1.100
3OAR121,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,1.1.1.100
3OAR140,3omrsACP_c + h_c + nadph_c --> 3hmrsACP_c + nadp_c,1.1.1.100
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,1.1.1.100
2AGPG120tipp,2agpg120_p --> 2agpg120_c,NA
3OAR160,3opalmACP_c + h_c + nadph_c --> 3hpalmACP_c + nadp_c,1.1.1.100
2AGPG140tipp,2agpg140_p --> 2agpg140_c,NA
EX_acgam,acgam_e --> ,NA
2AGPG141tipp,2agpg141_p --> 2agpg141_c,NA
2AGPG160tipp,2agpg160_p --> 2agpg160_c,NA
2AGPG161tipp,2agpg161_p --> 2agpg161_c,NA
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,1.1.1.100
3OAR180,3ooctdACP_c + h_c + nadph_c --> 3hoctaACP_c + nadp_c,1.1.1.100
3OAR181,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,1.1.1.100
3OAR40,actACP_c + h_c + nadph_c --> 3haACP_c + nadp_c,1.1.1.100
3OAR60,3ohexACP_c + h_c + nadph_c --> 3hhexACP_c + nadp_c,1.1.1.100
3OAR80,3ooctACP_c + h_c + nadph_c --> 3hoctACP_c + nadp_c,1.1.1.100
3OAS100_num1,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,2.3.1.86
2AGPG180tipp,2agpg180_p --> 2agpg180_c,NA
2AGPG181tipp,2agpg181_p --> 2agpg181_c,NA
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,NA
2AGPGAT140,2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c,NA
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,NA
2AGPGAT160,2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,NA
3OAS120_num1,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,2.3.1.86
3OAS121,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,2.3.1.41
2AGPGAT161,2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,NA
EX_acgam1p,acgam1p_e --> ,NA
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,NA
2AGPGAT181,2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,NA
2DGULRGx,2dhguln_c + h_c + nadh_c --> glcn_c + nad_c,NA
3OAS140_num1,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,2.3.1.86
3OAS141,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,2.3.1.41
3OAS160_num1,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,2.3.1.86
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,2.3.1.41
2DGULRGy,2dhguln_c + h_c + nadph_c --> glcn_c + nadp_c,NA
2DGULRx,2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,NA
3OAS180_num1,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,2.3.1.41
EX_acmana,acmana_e --> ,NA
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,2.3.1.179
3OAS60_num1,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,2.3.1.86
3OAS80_num1,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,2.3.1.86
2DGULRy,2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c,NA
2MAHMP_num1,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,NA
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,2.3.1.16
34dhpactex_num1,34dhpac_e --> 34dhpac_p,NA
3AMACHYD,3amac_c + h2o_c + h_c --> msa_c + nh4_c,3.5.1.-
3AMPtex_num1,3amp_e --> 3amp_p,NA
3PEPTabcpp,LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c,NA
3PEPTtex_num1,LalaDgluMdap_e --> LalaDgluMdap_p,NA
3CMPtex_num1,3cmp_e --> 3cmp_p,NA
EX_acmum,acmum_e --> ,NA
3GMPtex_num1,3gmp_e --> 3gmp_p,NA
3HAD100_num1,3hdecACP_c --> h2o_c + tdec2eACP_c,2.3.1.-
3HAD120_num1,3hddecACP_c --> h2o_c + tddec2eACP_c,2.3.1.-
3UMPtex_num1,3ump_e --> 3ump_p,NA
42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,1.4.3.21
4HOXPACDtex_num1,4hoxpacd_e --> 4hoxpacd_p,NA
3HAD121_num1,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,4.2.1.61
3HAD140_num1,3hmrsACP_c --> h2o_c + tmrs2eACP_c,2.3.1.-
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,4.2.3
EX_acnam,acnam_e --> ,NA
4PCP,LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c,NA
4PCPpp,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,NA
3HAD141_num1,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,4.2.1.61
3HAD160_num1,3hpalmACP_c --> h2o_c + tpalm2eACP_c,2.3.1.-
4PEPTabcpp,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c,NA
EX_acolipa,acolipa_e --> ,NA
4PEPTtex_num1,LalaDgluMdapDala_e --> LalaDgluMdapDala_p,NA
5DGLCNR,5dglcn_c + h_c + nadph_c --> glcn_c + nadp_c,1.1.1
5DGLCNt2rpp,5dglcn_p + h_p --> 5dglcn_c + h_c,NA
5DGLCNtex_num1,5dglcn_e --> 5dglcn_p,NA
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,NA
5MTRtex_num1,5mtr_e --> 5mtr_p,NA
5MTRtpp,5mtr_c + h_c --> 5mtr_p + h_p,NA
3HAD161_num1,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,4.2.1.61
3HAD180_num1,3hoctaACP_c --> h2o_c + toctd2eACP_c,2.3.1.-
3HAD181_num1,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,4.2.1.61
