reactions,metabolites,metabolitestotal,gpr,genes
F6PA_reverse_num1,dha_c,dha,ECDH1ME8569_0778,ECDH1ME8569_0778
F6PA_reverse_num1,g3p_c,g3p,ECDH1ME8569_0778,ECDH1ME8569_0778
F6Ptex_reverse_num1,f6p_p,f6p,ECDH1ME8569_0229,ECDH1ME8569_0229
FCLPA_reverse_num1,dhap_c,dhap,ECDH1ME8569_2648,ECDH1ME8569_2648
FCLPA_reverse_num1,lald__L_c,lald__L,ECDH1ME8569_2648,ECDH1ME8569_2648
FORCT_reverse,for_c,for,ECDH1ME8569_2313,ECDH1ME8569_2313
FORCT_reverse,oxalcoa_c,oxalcoa,ECDH1ME8569_2313,ECDH1ME8569_2313
FORtex_reverse_num1,for_p,for,ECDH1ME8569_0229,ECDH1ME8569_0229
FALDH2_reverse,Sfglutth_c,Sfglutth,ECDH1ME8569_0343,ECDH1ME8569_0343
FRULYSDG_reverse,g6p_c,g6p,ECDH1ME8569_3251,ECDH1ME8569_3251
FRULYSDG_reverse,lys__L_c,lys__L,ECDH1ME8569_3251,ECDH1ME8569_3251
FRULYSE_reverse,frulys_c,frulys,ECDH1ME8569_3252,ECDH1ME8569_3252
FALDtex_reverse_num1,fald_p,fald,ECDH1ME8569_0229,ECDH1ME8569_0229
FALDtpp_reverse,fald_c,fald,s0001,s0001
FALGTHLs_reverse,hmgth_c,hmgth,s0001,s0001
FBA_reverse_num1,dhap_c,dhap,ECDH1ME8569_2031,ECDH1ME8569_2031
FBA_reverse_num1,g3p_c,g3p,ECDH1ME8569_2031,ECDH1ME8569_2031
FBA3_reverse,dhap_c,dhap,ECDH1ME8569_2826,ECDH1ME8569_2826
FBA3_reverse,e4p_c,e4p,ECDH1ME8569_2826,ECDH1ME8569_2826
FRULYStex_reverse_num1,frulys_p,frulys,ECDH1ME8569_0229,ECDH1ME8569_0229
FRUURt2rpp_reverse,fruur_c,fruur,ECDH1ME8569_4179,ECDH1ME8569_4179
FRUURtex_reverse_num1,fruur_p,fruur,ECDH1ME8569_0229,ECDH1ME8569_0229
FRUtex_reverse_num1,fru_p,fru,ECDH1ME8569_0229,ECDH1ME8569_0229
FUCtex_reverse_num1,fuc__L_p,fuc__L,ECDH1ME8569_0229,ECDH1ME8569_0229
FUCtpp_reverse,fuc__L_c,fuc__L,ECDH1ME8569_2711,ECDH1ME8569_2711
FUM_reverse_num1,mal__L_c,mal__L,ECDH1ME8569_1555,ECDH1ME8569_1555
FUMtex_reverse_num1,fum_p,fum,ECDH1ME8569_0229,ECDH1ME8569_0229
FUSAtex_reverse_num1,fusa_p,fusa,ECDH1ME8569_1321,ECDH1ME8569_1321
G6Ptex_reverse_num1,g6p_p,g6p,ECDH1ME8569_0229,ECDH1ME8569_0229
GAL1Ptex_reverse_num1,gal1p_p,gal1p,ECDH1ME8569_0229,ECDH1ME8569_0229
G1Ptex_reverse_num1,g1p_p,g1p,ECDH1ME8569_0229,ECDH1ME8569_0229
GALBDtex_reverse_num1,gal_bD_p,gal_bD,ECDH1ME8569_0229,ECDH1ME8569_0229
G1SAT_reverse,5aop_c,5aop,ECDH1ME8569_0148,ECDH1ME8569_0148
GALCTNLtex_reverse_num1,galctn__L_p,galctn__L,ECDH1ME8569_2151,ECDH1ME8569_2151
GALCTNtex_reverse_num1,galctn__D_p,galctn__D,ECDH1ME8569_0229,ECDH1ME8569_0229
GALCTt2rpp_reverse_num1,galct__D_c,galct__D,ECDH1ME8569_2699,ECDH1ME8569_2699
GALCTtex_reverse_num1,galct__D_p,galct__D,ECDH1ME8569_0229,ECDH1ME8569_0229
GALKr_reverse_num1,gal1p_c,gal1p,ECDH1ME8569_1982,ECDH1ME8569_1982
G3PCtex_reverse_num1,g3pc_p,g3pc,ECDH1ME8569_0229,ECDH1ME8569_0229
G3PD2_reverse,dhap_c,dhap,ECDH1ME8569_3493,ECDH1ME8569_3493
GALTtex_reverse_num1,galt_p,galt,ECDH1ME8569_0229,ECDH1ME8569_0229
GALURt2rpp_reverse,galur_c,galur,ECDH1ME8569_2988,ECDH1ME8569_2988
GALURtex_reverse_num1,galur_p,galur,ECDH1ME8569_0229,ECDH1ME8569_0229
G3PEtex_reverse_num1,g3pe_p,g3pe,ECDH1ME8569_0880,ECDH1ME8569_0880
GALtex_reverse_num1,gal_p,gal,ECDH1ME8569_0229,ECDH1ME8569_0229
GAMAN6Ptex_reverse_num1,gam6p_p,gam6p,ECDH1ME8569_0229,ECDH1ME8569_0229
G3PGtex_reverse_num1,g3pg_p,g3pg,ECDH1ME8569_0229,ECDH1ME8569_0229
G3PItex_reverse_num1,g3pi_p,g3pi,ECDH1ME8569_0229,ECDH1ME8569_0229
GAMtex_reverse_num1,gam_p,gam,ECDH1ME8569_0229,ECDH1ME8569_0229
G3PStex_reverse_num1,g3ps_p,g3ps,ECDH1ME8569_0229,ECDH1ME8569_0229
GAPD_reverse,13dpg_c,13dpg,ECDH1ME8569_1723,ECDH1ME8569_1723
GARFT_reverse,fgam_c,fgam,ECDH1ME8569_2426,ECDH1ME8569_2426
GARFT_reverse,thf_c,thf,ECDH1ME8569_2426,ECDH1ME8569_2426
GBBTNtex_reverse_num1,gbbtn_p,gbbtn,ECDH1ME8569_0229,ECDH1ME8569_0229
G6PDH2r_reverse,6pgl_c,6pgl,ECDH1ME8569_1798,ECDH1ME8569_1798
GHBDHx_reverse,ghb_c,ghb,ECDH1ME8569_3753,ECDH1ME8569_3753
GGGABADr_reverse,gg4abut_c,gg4abut,ECDH1ME8569_1242,ECDH1ME8569_1242
