reactions,data_type,kcat,MW,kcat_MW
MDDCP3pp_num1,ours,13.098479911980611,44443.43770000003,1061.0009063977104
GMPS2,ours,13.098479911980611,58678.53230000009,803.6078244433209
AMALT2,ours,13.098479911980611,78502.5889000005,600.6748101415787
3OAS121,ours,13.098479911980611,42612.87280000006,1106.579410978603
LEUabcpp_num1,ours,13.098479911980611,26309.936100000006,272.4702410640114
ASPt2pp_copy1,ours,13.098479911980611,47158.59530000004,999.9137460129175
ADCS,ours,13.098479911980611,50968.933900000055,657.2924961603819
AKGDH,ours,13.098479911980611,105060.48080000044,236.05680962252268
AACPS7,ours,13.098479911980611,8639.416499999992,527.81889525379
PGCD,ours,13.098479911980611,44175.247800000034,1067.4422902304618
SERTRS2,ours,13.098479911980611,48413.47600000005,973.9959114509802
TMAOR1,ours,13.098479911980611,89986.03870000047,202.3453175170954
FEOXAMR3,ours,13.098479911980611,30112.408000000032,1565.9500788887476
2DGULRx,ours,13.098479911980611,35395.09920000004,1332.2332398811345
DSBDR_num1,ours,13.098479911980611,61794.34410000012,609.6337221483144
ACOTA_num1,ours,13.098479911980611,43664.844600000026,1079.9197412723686
DSBAO2,ours,13.044359407590669,23104.262199999983,1085.86793118553
FDH5pp_num1,ours,13.006928415996777,112962.02910000064,274.52258612334475
FEOXAMtonex,ours,12.999035492034045,26093.9289,311.7917159158786
GPDDA4,ours,12.947836990296713,27409.26720000002,1700.6004875996152
U23GAAT,ours,12.91356500314044,36038.10640000001,1289.9910304750522
FA100ACPHi,ours,12.874996402978496,22960.8319,2018.6545179455184
DSBGGT,ours,12.874996402978496,27494.67260000001,1685.7806501293844
DMPPS,ours,12.874996402978496,34774.147200000014,1332.8863763112663
EAR180y,ours,12.874996402978496,27863.63610000001,1663.457952306611
DOXRBCNtpp,ours,12.874996402978496,42196.17500000005,221.7891222862587
DSBAO1,ours,12.874996402978496,20141.9674,1071.7694346866856
3OAR140,ours,12.851128029662291,25560.01369999998,1810.017062188988
UGMDDS,ours,12.847186154812247,47446.580300000096,974.7777366649119
TRDR_num1,ours,12.776396015195315,34622.636500000044,990.6504202479776
GAM6Pt6_2pp,ours,12.77516972208836,50605.9889,908.7977924983915
RHAT1,ours,12.774934249347124,36730.01550000006,1252.1030190594277
CPGNtonex,ours,12.77437614836952,81231.66350000039,308.35398943836856
HACD4_num1,ours,12.727746429429676,79592.95340000032,575.6776848784035
GTHPi_copy1,ours,12.727746429429676,20469.3199,2238.4665132888385
GLCptspp_num1,ours,12.684266540664808,63561.09830000026,309.4614149619104
TSULabcpp_num1,ours,12.567621907301584,41058.39450000002,319.7390459593737
3OAR161,ours,12.485544366543063,25560.01369999998,1758.5264330102866
AGPAT180,ours,12.45965612640106,27452.833700000017,1633.8845943995861
DADNt2pp_num1,ours,12.45965612640106,46388.71720000007,966.9325810769293
NNAM,ours,12.457656137144328,23361.7852,1919.697562056156
LADGMDH,ours,12.430826006037382,26557.68790000001,1685.0478019863526
PAPA141,ours,12.430826006037382,29020.883700000028,1542.0265655705905
2AGPEAT180,ours,12.430826006037382,80699.04430000036,554.5415563457221
PGK,ours,12.410919385140287,41117.70940000005,1086.619620559529
OHPBAT,ours,12.405722165351577,39782.842400000045,1122.6095749072374
SPMDAT2,ours,12.358847799407853,21886.749500000005,2032.8213688317794
S4FE4ST,ours,12.34310935183939,46822.17320000006,311.937862598345
3OAR121,ours,12.24776429825161,25560.01369999998,1725.0363004972032
ASPTA,ours,12.243440162458002,43572.83760000009,1011.5564423293082
GLYCTO2,ours,12.229946351150154,38360.55110000005,320.71238835224216
DHMPTR,ours,12.171835042509391,26347.997200000016,1663.0716111140998
HEPT3,ours,12.161705127504916,38730.219000000056,1130.4387010829355
PPPGO3,ours,12.083795760075027,21226.0465,2049.4473493342293
ETHSO3abcpp,ours,11.96921992293838,34557.29529999999,472.3648619828088
APRAUR,ours,11.96921992293838,40337.85500000001,1068.207313516749
PAPSR2_num1,ours,11.946831663995658,9684.737199999998,1142.0170181813844
G3PAT140,ours,11.931084042164551,8639.416499999992,429.4340774453266
PGP181abcpp,ours,11.89771266179132,64459.97920000018,664.4706702364035
DHPPDA2,ours,11.83027571517134,40337.85500000001,1055.8070719084296
DHPS2,ours,11.83027571517134,30614.766300000025,1391.1258429111963
IPPMIb,ours,11.808496015650777,22487.2053,587.4183804576143
NI2uabcpp_num1,ours,11.793688755740838,29721.31650000002,234.74050676369936
DMQMT,ours,11.738097311240056,26555.14670000002,1591.2979430260189
PE181abcpp,ours,11.67351508934662,64459.97920000018,651.9495482810786
CBItonex,ours,11.661698639059138,68406.2387000002,307.9808208056562
PDXPP,ours,11.653353118139224,30200.954500000007,1389.0975275401047
ALCD19,ours,11.645174262990706,39358.55440000008,1065.1465224232538
ECAP3pp,ours,11.645174262990706,51516.619200000016,460.66151498903974
LPLIPAL1E120pp,ours,11.633730899384142,23621.8715,1772.9937798443661
KDOCT2,ours,11.62798475288047,27614.11420000001,1515.9184468922665
AGM4Pt2pp,ours,11.62798475288047,53244.53680000006,786.1979392854752
EAR60y,ours,11.588691385969527,27863.63610000001,1497.2665031858596
PSSA120,ours,11.588691385969527,141708.5374000001,294.4020858230259
MOAT2,ours,11.550986695540043,47290.47050000007,879.3220212081438
S2FE2ST,ours,11.544376639303916,13299.96739999999,291.7521080989275
PTRCORNt7pp,ours,11.514153560061883,46494.34520000005,891.5267574565764
CBL1tonex,ours,11.48508796695697,15526.81839999999,303.3166032297635
BWCOGDS1_num1,ours,11.470526883094688,77951.0022000005,529.7417045799139
BUTt2rpp,ours,11.470526883094688,47527.18760000007,868.8478924248575
THIORDXi_num1,ours,11.448815990543968,11806.481899999984,1399.980947351234
SUCASPtpp_num1,ours,11.448815990543968,45750.16070000011,900.8872741720924
THMDt2pp_copy2,ours,11.448815990543968,46139.31040000012,893.2889808851191
THMDt2pp_copy1_num1,ours,11.448815990543968,43475.232800000056,948.0279899952193
TMPPP,ours,11.448815990543968,23014.98779999998,1790.8216125996955
