reaction_id,name,reversible,dG_reaction,source
R_EX_metsox_S__L_e,L-Methionine S-oxide exchange,False,0,calculated_from_formation_energies
R_EX_mg2_e,Mg exchange,True,0,calculated_from_formation_energies
R_EX_2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate exchange,False,0,calculated_from_formation_energies
R_EX_mincyc_e,Minocycline exchange,False,0,calculated_from_formation_energies
R_EX_minohp_e,Myo-Inositol hexakisphosphate exchange,False,0,calculated_from_formation_energies
R_EX_tre_e,Trehalose exchange,False,0,calculated_from_formation_energies
R_EX_34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde exchange",False,0,calculated_from_formation_energies
R_EX_trp__L_e,L-Tryptophan exchange,False,0,calculated_from_formation_energies
R_EX_mmet_e,S-Methyl-L-methionine exchange,False,0,calculated_from_formation_energies
R_EX_mn2_e,Mn2+ exchange,True,0,calculated_from_formation_energies
R_EX_3amp_e,3'-AMP exchange,False,0,calculated_from_formation_energies
R_EX_mnl_e,D-Mannitol exchange,False,0,calculated_from_formation_energies
R_EX_tsul_e,Thiosulfate exchange,False,0,calculated_from_formation_energies
R_EX_mobd_e,Molybdate exchange,True,0,calculated_from_formation_energies
R_EX_3cmp_e,3'-cmp exchange,False,0,calculated_from_formation_energies
R_EX_mso3_e,Methanesulfonate exchange,False,0,calculated_from_formation_energies
R_EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,False,0,calculated_from_formation_energies
R_EX_ttdcea_e,Tetradecenoate (n-C14:1) exchange,False,0,calculated_from_formation_energies
R_EX_n2o_e,Nitrous oxide exchange,False,0,calculated_from_formation_energies
R_EX_na1_e,Sodium exchange,True,0,calculated_from_formation_energies
R_EX_ttrcyc_e,Tetracycline exchange,False,0,calculated_from_formation_energies
R_EX_nac_e,Nicotinate exchange,False,0,calculated_from_formation_energies
R_EX_tungs_e,Tungstate exchange,True,0,calculated_from_formation_energies
R_EX_tym_e,Tyramine exchange,False,0,calculated_from_formation_energies
R_EX_tyr__L_e,L-Tyrosine exchange,False,0,calculated_from_formation_energies
R_EX_tyrp_e,Phosphotyrosine exchange,False,0,calculated_from_formation_energies
R_EX_nh4_e,Ammonia exchange,True,0,calculated_from_formation_energies
