n,raw_r2,raw_rmse,log1p_r2,log1p_rmse,log10eps_r2,log10eps_rmse,zero_true_fraction,zero_pred_fraction,lt_0p1_fraction,lt_0p5_fraction,scope,Method,threshold
176,0.3398777263367603,1.7669273741545921,0.4448246120718877,0.45264654533204873,-11.971143460987252,2.0428033005130537,0.0,0.09659090909090909,0.0,0.45454545454545453,all_classic,fba,0.1
131,0.2690507724941651,2.0023011986897785,0.2936975065088957,0.49497583979237947,-23.161855862673487,2.2268754129046826,0.0,0.11450381679389313,0.0,0.26717557251908397,all_classic,fba,0.2
96,0.13566535718954154,2.302497939615824,-0.03610860997046306,0.5479935689680012,-43.25978603353198,2.311466973905262,0.0,0.11458333333333333,0.0,0.0,all_classic,fba,0.5
72,-0.037968694859747076,2.6258877744047373,-0.4904847249663826,0.5997522535683019,-48.744000970282926,2.044432246701069,0.0,0.08333333333333333,0.0,0.0,all_classic,fba,1.0
126,0.44172743086668287,1.74678678786905,0.656523748694521,0.35992981354981857,0.6081832824905354,1.7003803099411998,0.35714285714285715,0.42063492063492064,0.49206349206349204,0.753968253968254,classic_Zwf,fba,0.0
80,0.38762169500423815,2.19220002029655,0.5736959655035341,0.4517083303760668,-7.0313592548358095,2.1178609112585702,0.0,0.1,0.2,0.6125,classic_Zwf,fba,0.01
72,0.3697291062905965,2.310720822181326,0.543624147202326,0.4758907412100809,-8.280899566039887,2.010090812672459,0.0,0.06944444444444445,0.1111111111111111,0.5694444444444444,classic_Zwf,fba,0.05
64,0.40759505091086157,2.334391759141684,0.615017090114506,0.4449591609004204,-10.644770006654113,2.114215960873578,0.0,0.078125,0.0,0.515625,classic_Zwf,fba,0.1
44,0.3155471671962876,2.815106943910438,0.4702795200625579,0.5354591565303352,-17.195172703054553,2.302147595012499,0.0,0.09090909090909091,0.0,0.29545454545454547,classic_Zwf,fba,0.2
31,0.16401862484591356,3.353002672242544,0.17627543829416337,0.6348513844547078,-33.342256549745535,2.5577693168290123,0.0,0.0967741935483871,0.0,0.0,classic_Zwf,fba,0.5
21,-0.14022631204619085,4.062124208395458,-0.43187569392903025,0.7382734566932575,-35.235256151592814,2.089930341605262,0.0,0.047619047619047616,0.0,0.0,classic_Zwf,fba,1.0
126,0.6434612646031281,0.6781144025384621,0.7281407168467174,0.2441292400837292,0.666220529523878,1.549770687011585,0.36507936507936506,0.4126984126984127,0.5555555555555556,0.753968253968254,classic_Pgi,fba,0.0
78,0.5824145856071847,0.8617327039344047,0.6411821188979538,0.3099388449783095,-5.5456797039120715,1.7033023888382752,0.0,0.07692307692307693,0.28205128205128205,0.6025641025641025,classic_Pgi,fba,0.01
